author	comment	vote
关于成长的主题，能阐述得细腻不矫情。
一方面是随着长大渐渐淡去的个人色彩，泯然众人矣的现实，须缄默接受。另一方面是必须选择、放弃、妥协，才能前进一些。
两股力在一起，曾经被选召的耀眼孩子，也成了失去数码兽、为找工作烦恼的普通成年人。
Ok fine.
爱BGM.	96
一只酸奶牛	这个“告别”的立意真的是杀人诛心。太一与亚古兽再见，我与数码宝贝大冒险告别。你所眷恋的温柔港湾，也在督促你赶快面对现实。但这部剧场版的制作也很有问题，一眼就能看穿的做作煽情场景和分镜设计实在是有点尴尬，很可惜。	52
excalibur	最好的成长，是与并肩冒险的伙伴告别，在无限大的天空独自飞翔。	63
Excelsior	说是命题作文也好，但站在这个节点怎么能不被打动……从天使兽出现、阿和摘下头盔、光子郎的乌龙茶，到最后的沉默、泪水和夕阳。谁都会害怕改变害怕分别，但让人有勇气前进的正是那些羁绊与约定，是即便不同也依然存在无限可能的未来。
回忆中的Butterfly会是一直守护大家的Butterfly，平行世界里的冒险永远都是进行时。	33
已注销	不如改成叫太一阿和历险记好了，我想看群像，想看所有数码宝贝最后并肩作战！	447
里克尔	数码宝贝不跟打工人玩儿哈哈	52
国王KING	“你们长大了，我们很高兴。”最终我们无可避免地长大，也无可避免地迎来了告别。虽然结尾很悲哀，但太一和大和还是英姿勃发的少年模样。努力成长吧，一定会遇见更多冒险的！	90
岳书重	这真是一部对特定的人们来说，一部划时代的、震撼的作品。	43
冬眠的knight	聚散终有时	66
what'swilliam	3星半。针对8090后的情怀贩卖之作。1.所谓成长，是失去，是离别，是向前看。2.主题曲和进化战歌一起，浑身鸡皮疙瘩。3.从小就觉得太一和阿和不对劲的我是不是有点不对劲？4.本片又名：《青春期迷途少女如何走上心理变态之路》。5.天女兽天使兽怎么弱的一X？6.就算长大成人变社畜也不要放弃自己身上的无限可能性。7.最后XX和XX消失的时候我在影厅哭成狗，那是我逝去的童年。8.不想长大是错吗？	39
喜儿喂鸭正经地	呃。。所以为啥读大学了就是变成成年人了啊。。很多地方逻辑上真的很牵强。。。	30
影愈者	成长既告别，如果可以谁想从合法中二变成傻逼成年人，这次连“纸片人”“纸片兽”都来告别了，爷的青春果然回不去了。这部剧场版的剧情简单，重要的是因为剧情简单导致的定位尴尬，面向的应该看着初代数码宝贝长大的观众，都是已经长大的人了，还用这种子供向的剧情，所以陷入的也只是对过去情怀的自我感动了	22
JoeyLu陆柏宇	我想看的是八个人并肩作战，而不是属于太一阿和的“remember me”！	10
颜落寒	被选召的孩子们如果选择长大，就必须要和自己的数码兽告别，而童年时曾经流连于数码世界的我们也早已长大成人告别青春，到了不得不以自己的方式与现实世界战斗的时候了。	51
Pint	长大以后就都变成社畜了 与数码宝贝的羁绊也没有了 长大以后就没有数码宝贝了	14
谋杀游戏机	哎，卖情怀就卖吧，谁叫我从看开头字幕就开始眼眶微湿，到最后哭成个泪人呢？数码宝贝故事展开空间其实不大，无非就是反复讲成长和失去，但就这两点就足以让和它一起长大的观众万分留恋了。成年人的世界没有励志童话，连聚齐过去的小伙伴都不大可能了。告别数码宝贝，想逃避现实停留在过去，不就像我们告别一只陪伴长大的宠物，或者最疼爱你保护你的亲人？这谁扛得住啊...很喜欢这次分别的处理，不再是挥别催泪，而是淡淡的“太一，你长大了啊”，“我想吃刨冰“，”明天做什么好呢？”，然后突然，静默...啊，暴击！“还没到欣然接受未来命运的年纪”，数码宝贝没有嫌弃我们这些已经长大了的孩子啊！依然要有梦想，依然要坚信，总有一天我们会迎来新的冒险！	65
kiki204629	你长大了，其实，我们都长大了吖	32
ChrisKirk	我说什么来着，都这样了，太一和阿和还不安排结婚编剧就自己切腹吧！	48
虾大炮	全片处理的最好也是无关情怀却让我汗毛竖起的部分，就是最后没有声嘶力竭的告别，平淡的谈话中甚至还在计划明天，亚古兽和加布兽就消失了。成长中的好多离别，都是悄无声息的，好多人和事来不及说再见，就再也没见过了……	64
商羊i	非常失望，情怀都卖不好。主角是八个人，不是只有两个！	115
Mr. Infamous	太适合跟一年未见的弟弟在家里看了。两个死忠粉，一段永恒闪光的共同回忆。剧场版侧重怀旧，却更是一个高光却残忍的终篇，我们一大截童年终结在离别的列车上，得知这些年相互陪伴，像是心头也有一些柔光始终未散，于是哪怕是反派，也诉着我们无法再诉的衷肠，只是向来好心异化，总是不堪一击。奈何引向这样的夕阳，特别理解阿空的抉择。始终是太一与大和的主场，八人不齐，是心头永远填不上的遗恨啊。	29
千叶柱间	这里的叙事集中反映了一个现实问题是：成人世界为什么一定就是儿童世界的终结？这里才是某种更加可悲的地方，而不仅仅只是分离。假如梦想终将完结的话，我还追逐梦想干什么？最后结局虽然落脚点在敞开的选择自由上，但我为啥就不能继续选择我童年的梦想呢？唉，“成人世界”一次在现实的语境中就是如此地自带无奈与唏嘘。我们应当批判这种成人中心主义的现代性！！	30
超搞笑级的？？	一代目们的第N次告别……	25
横亘与追寻.	也就图个影院里听butterfly了吧	25
Jabbahy	谨以此标记录今年第一次进电影院看电影。热情、记忆、情怀都是慢慢被消磨殆尽的稀罕物件，不让人长大这种好事也只有在电影里才有。	5
塔塔君Minkun	焦虑的社会人来到田口监督面前，竭诚地跪下说道：“神啊，我已经听您说的扔掉了我的童年，我已经是成熟的成年人了，请问您说的我还有无限的可能性，这个可能性是什么呀？”田口：“你至今为止积累的努力不会白费的，所以，不要停下来啊！我该说的，都说完了。”于是，社会人陷入了新的焦虑之中：“您……倒是告诉我答案啊……”	38
连城易脆	哇！一转眼原来已经过去20年了！第一次在电影院里听光叔唱《Butter fly》，还是有所触动的，虽然因为时间太久很多名字已经完全忘记了，但是当进化的音乐响起来，像机械暴龙兽、钢铁加鲁鲁等进化谱系也逐渐从大脑里浮现。电影选择的表现的主题还是很好的，毕竟我们的成长是不可逆的，再好的小伙伴之间的关系也早晚会疏远会遗忘甚至消失，但是那份美好的记忆值得怀念值得留恋值得被铭记。只是也许是我的心境早就不是小学生那会儿的样子了吧，如今看着银幕中那些也同样长大的角色，而且非常时髦，总觉得怪怪的，说明确实回不去了。另外进化、打斗等还是看得不够过瘾，整体效果在我这里只能算差强人意吧，时间过得真快啊！	10
Rochee	今天下午的超前点映，真是有够难看的，观影过程中让我不时发出“这什么鬼”的疑问。首先，这个画笔也太差了，连tri都不如，巴鲁兽丑得美美宁愿被吸走，最后两位亲儿子所谓的最后进化成的数码兽丑出天际，比大反派那个巨型蜂窝还要丑。其次，要突出成长的主旨可以，但是刻意黑化大可不必，女反派的内心扭曲程度跟望月芽心有的一拼，有好几幕我以为在看恐怖片。最后，所谓最后的进化也只是两位男主的进化，其他人都打酱油，素娜阿助美美只有几个镜头，还强行插入第二部那几位，不好意思青春里面真的没有那几只。近几年卖情怀的续作里，这部最差无疑。	27
遮那王	依稀记得小时候有一集数码宝贝是太一他们和自己的数码宝贝分开，回到了现世。当时其实不太看得懂，但还是觉得好难过好难过，哭的撕心裂肺。过了这么多年，真的到了分别的时候了，自己还是忍不住掉眼泪。所谓成长，大概就是和自己珍视的一切慢慢告别。	248
走着走着。	日本上映了，国内何时看得到呢？	21
郭连凯	BGM一起，眼泪就止不住。（评分没有任何参考性只因为儿时情怀）	19
壹安²	电影院里听BGM听到热泪盈眶！当我们学会成长，找到人生方向，数码宝贝的故事，才是真正告一段落了。下面是数码宝贝死忠粉时间：彩蛋好多了啊啊！！二代们终于上场了上次连酱油都没打着！！爷的两段青都回了！要是四代能上就大哭死啊啊！要有续集啊呜呜呜！！）	12
清舞翩翩	素娜钱没给到位，比二代的戏份都不如哈哈、太一阿和搞基双人组合体打不过，分开却赢了！boss差不多翻版究极吸血魔兽！音乐一起就是童年的味道。幸好嘉儿有哨子！！我永远喜欢数码宝贝亚古兽勇气。加布兽友情。甲虫兽知识。巴鲁兽纯真。哥玛兽诚实。天使兽希望。迪路兽光明。比丘兽爱心！！！（素娜给个结尾c位）	20
黄悦_	我们总是诟病隔壁的哆啦A梦和柯南不会长大 然而但当发现这边厢数码暴龙被选中的孩子都已经工作了 又会感叹时间快得残酷。老实说 这电影不太好看 打斗不精彩 这8个孩子甚至都没有同框 但是啊 太一的吹哨、大家的互动、还有穿插的那些回忆的片段还是让当年追第一代数码暴龙的我们触动心头了不是吗？最关键的是 这电影教会了我们 哪怕过去是美好的 但是总抓住以前只会让人没有进步 乐观地往前看 那才是人生 那才是成长。	22
Cycble	①“花仙兽超进化……”十几年前电影里被选中的孩子和十几年后坐在电影院看电影的孩子，形成了互文，他们都回不去了。真的很容易泪奔啊。

②这是为了告别的聚会，毕竟为了告别我们才聚在一起。点首许嵩的《如约而至》吧：人生里看似偶然却又必经的告别，无约而至，无人可免。

③人活着就无法永远逃避在过去的温柔梦幻里，只能挥手告别那些挚爱，吹着风忍着痛，不断向前向前。能做的就是，做好当下的每一个选择，不畏将来，不念过往。

④那些被选中的孩子后来都怎样了？或者说，那些说长大要当科学家的孩子后来都怎样了？大多成了像我这样的人，还在人海里浮沉。	10
夏虫晓宇orz	点映 知道的剧情 孩子们的数码宝贝都没有究极体进化 甚至完全体都没有 只有仙人掌 兽 海狮兽 和比多兽 没有座天使 也没有炽天使 甚至素娜都没有参战 镜头很少很少  所以可想而知了	92
焱返	所以阿丈终于不考试了，年纪最大还和哥玛兽在一起是因为还没想好要去做哪个科室的医生？最后只能跑去治数码兽。
cp估计还是和空，因为太一还在看本子，阿和从玩乐队到开机车依旧那么帅，太一从阿和那里才知道阿空沉迷插花，空不喜欢打架是真的，但怎么觉得还是因为想卖腐，啧，自从有了皇骑就天天消费奥米加，最终进化还以为斗士精神了。
不想长大，但敢于长大承担分别的痛苦是人生的不可避免。
不过趋势似乎还是02大结局，外交官，宇航员，卖拉面，光子郎美美双总裁人生赢家，问题是小贤和阿京看上去还没什么真是急死人了（）	23
木下フランコ	以下碎碎念：比tri是要好一点的。但是诚意还是不足。主角组肯定也不会就这么没了，不然你们要把第二部结局那个全家福吃了吗？（那好啊把拉郎配CP也吃了吧）所以过几年又来个骗情怀企划弄回来呗？最后主角组的进化怎么看怎么像四代主角组的废案。	17
恶魔的步调	毕竟细田守最初的“小”电影催生了夏日大作战（特别巧，他的电影最近我们也将第一次在电影院见到），所以蓝天白云还是很能让人联想的；而成长的主题则会让人联想到细田守参与的少女革命，大战后消失的拍档和乐观只身前行，一模一样的收尾，现在一想，其实也可以将少革倒悬城堡看成是neverland；同时最后几段的感觉（特别是那种场设的感觉）也太neta同样御三作eva的感觉了，加上用的很好的配乐，节制的cg感（甚至有种手绘感了），以及复古的画幅选择，形成的一个整体的氛围感还是挺有意思的。可能就是在预期之外少一些超预期的东西。	6
阿C	剧情太弱了，太一阿和性格同化，跟双胞胎一样，一点特色都没了，剩下的孩子们完全是背景板了。这不是我的童年，这一部作为告别，不接受	31
Elinas	这部电影是绝对的粉丝向，没有看过数码宝贝大冒险01,02，或者是觉得这两部不好看的人，请千万不要去看。先说缺点，最大的割裂来自于主角们都和当年的观众一样已经长大成人，世界观设定还是动画片的级别，违和感很大。其次主要矛盾来自于数码兽会随着孩子“可能性”的消退而消失的设定，这您之前这么多部可是提都没提啊！虽然催泪是催泪，细想还是觉得有点太都和了。最终战的战斗场面着实有点拉胯，再加上其他数码宝贝遮遮掩掩，镜头真的就几个。优点有神级的配乐，真是让人起鸡皮疙瘩；对于成长这一话题还算不错的讨论-虽然无限月读和勇于向前的冲突在日本作品里真是用烂了，放在这个动画的设定下还是蛮合适的。最后居然02系那么不受待见的角色还有几个镜头，也值了。	12
过热·钢筋	被tri搞怕了。看之前一直在怀疑本片的圈钱实质，成品质量挺不错。开场鹦鹉兽从午夜降临变成大白天阻击，古典启蒙波莱罗，标准战歌butterfly、二代全员登场、太一吹响哨子赚足粉丝情怀。最后的进化是我们带着自己的童年回忆，与长大的自己融为一体，勇敢地走向未来的进化。片尾暗示回归可以但没必要。可我们终究是要长大的呀	14
gao	這部電影叫 數碼暴龍之 我想不到論文題目	16
西帕克	20周年纪念剧场版，观众从少年成了大叔，动画里的小朋友也一个个变成了社畜。就像《玩具总动员3》一样，讲述的是成年人如何和童年玩伴告别的故事。小朋友会长大，数码宝贝却不会，但这样的告别依然显得强行。其实对于大部分观众来说，早已在很多年前完成了告别，再看这样的作品，也仅仅是怀旧罢了。	7
亦川君	现实已经很苦了，生活没有放过我，连他们也没有放过。	10
YiQiao	两星半//是对看数码宝贝长大的孩子的精准打击 看到最后发现自己才是那个被制片策划选中的孩子//反派的数码宝贝进化后的进攻和防御模式也太他妈AT力场了吧？？？//以及不愧是我从小就站的cp 太一x阿和太好嗑了//吉他和弦煽大情了 俗套情节推动刻板人物 是过于标准的模版化操作//主角试图说教教人长大 而我可能更会买反派的帐 留在美好过去没什么不好 不愿意长大就不愿意长大呗 做自己开心的事就好 但也是真的 选择了就不要用后悔来折磨自己了 往前走吧	4
昭和惊弓鸟	有几处还稍能让人眼泪水在眼眶打转，但剧场版的通病也同样一个没落下，缺乏个性、无趣的反派、过多人物的加入、情节过于走马观花巴拉巴拉，本质上是不是讽刺日本职场的固化？最能引起情怀共鸣的基本是主题曲和几首插曲的回归。	5
幸运+++	贩卖情怀的动画片总在说着不得不长大的主题，却还是戳中我。原来我一直在找的答案就是数码宝贝😭😭😭	6
王大盆	这个催泪催的毫无意义，因为早在第二部结尾就已经告诉大家所有人成年后的结局了，并且不单单是长大这么简单，而是说到了每个人结婚有小孩的时候。所以这也这也必然不是“最后的进化”，肯定会再出一部来捞钱的。	7
谢谢你们的鱼	有点害怕会走完结篇从头到尾煽情的路线，没有想到故事线意外得清晰和完整，虽然是最后的进化但是并没有太嗑老本，没有玩回忆杀，还是出了一些情节上的设计，整体上是合格的剧场版，而当主题曲、进化BGM响起，故事走到了离别的瞬间，不可能不流泪的，不想长大呀少年们～	2
柘	【剧透警告】
素娜之所以没有参加战斗，应该是因为比丘兽已经消失了。在最后大家战斗的时候闪过的素娜的镜头里，她的神圣计划已经和结尾亚古兽消失后太一的神圣计划一样了。
其实也可以理解，素娜是被选召的孩子中最先坚定了自己未来的人。但片中也有镜头，素娜抱着比丘兽说我们要永远在一起，或许那时候素娜已经知道比丘兽即将消失。
数码兽对于被选召的孩子们代表什么呢？代表了我们全部的童年、少年，在踏入成人世界的时候，我们总是面对着诸多冲突，少年的纯洁无垢终究要和现实的复杂碰撞。我们曾经珍视的勇气、友谊、爱心、诚实、知识、希望和光明不是为了让我们沉溺于过去，而是为了让我们向未来前进。或许我们不用再战斗，但冒险一直在继续。	10
果酱	长大的只是我们，他们还是童年的样子。至少你还可以买新玩具呀	8
晚晚Yehwan	不行了我哭晕了 为什么长大就是离别啊	11
拆了學校蓋廟	亚古兽说“看到长大成人的你们，真的很欣慰”，老子哭了，稀里哗啦的。	8
梦之安魂曲	今天是8.1，御台场纪念日。时代变了,曾经被暴龙兽打败的鹦鹉兽。现在居然要机械暴龙兽,兽人加鲁鲁,天女兽三只完全体才能打败。战力严重崩塌。前戏结束,正片开始。当光叔的Butter-Fly响起的时候有童年那味了。画风不错,画面精美。此次的主题不再是冒险而是告别童年后长大。无敌的奥米加兽又再次倒下了但这次表现的很不错。当太一吹响口哨闪现出小时候保护嘉儿的那一幕老泪纵横了。亚古兽和加布兽的人形新形态很有四代的感觉。这次二代主角团也终于有所表现了,遗憾的是没看到帝皇龙甲兽。最后当太一大和看到亚古兽和加布兽消失,暴龙机坏了。他们哭了的时候再次泪奔。长大就意味着告别童年也会失去很多东西。童年结束了,童年的冒险也结束了。长大后会有新的挑战,独自一人与现实世界的冒险和战斗开始了。数码一生推。8.2	13
方枪枪	童年！	5
天亮说晚安	我从没有为离别流过眼泪 就像离别对我的那样	12
#未注销#	“人们越是接受宿命，越长不大。这不是回忆录，是我们和它们的新故事/冒险。”
❶时隔20年，暴龙兽再战鹦鹉兽。大和的口琴、小光的口哨、电车，恍如昨日。“总不能停留在过去；可是一旦选择了前途，就渐渐疏远了呢。”《数码宝贝》可能是最能唤起共情的童年回忆，它与人类社会有交集，主角不冻龄。成年的初代在规划人生（考研/兼职/创业）之余还得拯救世界。
❷长大后才发现比“选召”更重要的是“孩子”。围绕挥别童年、少年的态度设置正反派。反派深陷过往而执迷不悟。可恨之人必有可怜之处，形象免于扁平。
❸太一、阿和挑大梁，后辈（第2、3代）助攻。
❹决战场景刷新蝴蝶的存在感。亚古兽、加布兽贡献“最后的进化”，全新形态。“我们或许无法改变宿命，但是可以改写命运。”	3
曼帝92	以这样的方式告诉我们长大就是离别，需要这么残酷吗。3星的剧情，一直等到最后也没能看见想看的那个"彩蛋"。小时候会盼望着正义战胜邪恶，长大以后看见美国佬一登场就知道肯定是幕后黑手。和太一大和同岁也有些一样的烦恼，只是我们从来不是那个拥有潜力，被选中的孩子，所以不必告诉我们未来有多么充满希望，因为我们从未看见希望	9
Stiles	回忆会成为我们的敌人，爷青结。铺得满满当当的熟悉配乐，都不如那声口哨、那阵口琴给人的杀伤力大。原来太一和我一样在纠结该考研还是该工作啊？	10
臻圣	光叔的《butter fly》一响起感觉就来了，很走心的一部周年剧场版，始终贯彻着友谊的羁绊，情怀值拉满。还有第二部主角团的客串，虽然联动少了一些，但依然比tri好看太多。ps:最后新进化的造型好像第四部里的火神兽和光狼兽啊。	5
江湖骗子	气死我了，忍不住哭出声，骗我电影票钱来这里丢脸，去死好吗，凭什么长大后不会能跟数码宝贝在一起，强行安排这种剧情有意思吗，我打着段字的时候还有人回头看我，全电影院就我哭最爽可以了吧，后面那个男的擤鼻涕这么大声你怎么不看他看我？气死了	84
八组母人	结束了也好 就不用一次又一次卖弄情怀了 最后的进化那段作画真是崩到无法直视 就像是吊车尾大学生连夜赶出来的毕设动画。（太一和阿和这是要在一起的节奏	6
屑屑	剧情比tri.好，某些片段有泪点，但一想到结局，凭什么设定为长大成人就无法让数码宝贝拥有无限的可能性，比起2代拆CP的结局，我更生气这个结局💢 请辣鸡东映别再鞭尸数码宝贝1代，不要几年后出中年危机版的续集，我不想看到被选中的中年人！	3
ゲス	哭了 哭成傻逼 散场的时候觉得大家都好从容 我只能独自窘迫地戴上口罩赶忙溜回家里接着哭	8
zeroasd123	很痛苦，看完后缓了很久才决心写点什么//向童年说再见这个早就用滥的主题，我想不到偏偏被用在这样一个让你措手不及的系列完结时刻//心里堵得慌，并不反对被当面指出已近准中年的大人早就该放弃那份天真，提早面对过往记忆的离别也不是多么难做的事，但是还是很痛苦//其实还是隔着电影屏幕被骂了吧：“快醒醒，你已经过了爱做梦的年纪，已经失去了选择自己未来的可能性，快打碎那些自己欺骗自己的伪装面具，你要直面自己老去的事实。就让这些过往的所谓回忆，消失在日复一日平凡生活的沙粒中，事到如今，连动画里永不衰老的主角都在告别过去，外面的你，为何还要觉得自己还能撑下去呢?”//成长就要面对离别，就要面对接受那个不断平庸的自己。只是，我还是不习惯//可能我还是没准备好吧。	4
乍暖	6/10。依旧是太一阿和拯救世界，依旧是讨论成长和黑客帝国，但情怀卖得不错，而且二代主角都登场了！可惜没看到8人组合体打怪。我是支持反派的。最后看到陪伴我童年的两小只消失还是有点感伤的，就让夏天结束在这一刻吧～	3
魂	这个剧情编织笨拙地让人想发笑，怪不得日漫冷饭炒得都那么难看，一个个比荷里活编剧还要水货。	3
沉甸甸	面对“45岁以上不许卖菜”的世界规则，反派采取避世方式消极对抗，而主角选择积极抗争，面对现实，最终变成了社畜。	3
江湖骗子	不愿接受长大现实的“成年人”极度崩溃，气到大哭	1
NegativeAF	原来上班了就不可以拥有数码宝贝了呢[再见]
本打工人被儿时情怀电影侮辱了[再见]	9
团小纸	虽然…但是…	1
拆了學校蓋廟	亚古兽说“看到长大成人的你们，真的很欣慰”，老子哭了，稀里哗啦的。	8
八组母人	结束了也好 就不用一次又一次卖弄情怀了 最后的进化那段作画真是崩到无法直视 就像是吊车尾大学生连夜赶出来的毕设动画。（太一和阿和这是要在一起的节奏	6
梵谷的左耳	为什么要把我童年的梦叫醒啊让我一直装睡不好吗。。。为什么要对我说：醒醒啊你该长大了你不能总是装睡你会在不知不觉中和你在乎的东西分开你会甚至来不及告别。。。就不能给我们这些为了在生活的夹缝里想要喘口气而匆匆赶去影院的、始终只想躲在自己的小壳子装睡努力想回到童年不想长大的大人们留一个梦幻岛吗，我真的到现在都缓不过来看完电影自己一个人抽抽地哭，回家路上骑自行车迎着风哭，就想不明白了为什么了为什么要把我的童年的叫醒啊为什么要让我醒过来啊💔	7
向晚的迷途指南	谁想长大啊 我也不想长大	4
子非材	可观的画面制作是难得的优点，而其余的，我作为老观众，也只想说——这冷饭抄得我恶心！
能给我留有较好印象的只有离别与怀旧的成长主题，而角色几乎个性全无（离别时两个主角的雷同反应更是把这个缺陷发展到极致），沦为了仅为挑动情怀而出场的工具人，带动他们的剧情也无脑得让我难以入戏，所以最后离别的煽情只是由剧集的情怀和闪现的回忆所引起，绝非这个剧场版的功劳……
用哭笑不得来形容我这次别扭的观影体验是再恰当不过了！	6
# J #	情怀和童年看的我泪流满面 虽然总要长大... 但世界还没被决定啊😭	3
知鱼君	无限大な梦のあとの 何もない世の中じゃ	3
屑屑	剧情比tri.好，某些片段有泪点，但一想到结局，凭什么设定为长大成人就无法让数码宝贝拥有无限的可能性，比起2代拆CP的结局，我更生气这个结局💢 请辣鸡东映别再鞭尸数码宝贝1代，不要几年后出中年危机版的续集，我不想看到被选中的中年人！	3
乍暖	6/10。依旧是太一阿和拯救世界，依旧是讨论成长和黑客帝国，但情怀卖得不错，而且二代主角都登场了！可惜没看到8人组合体打怪。我是支持反派的。最后看到陪伴我童年的两小只消失还是有点感伤的，就让夏天结束在这一刻吧～	3
长耳朵走来走去	就算30岁了，在电影院看《数码宝贝》大哭…也是可以的吧？
“明天我们干什么呢？”	5
热心市民	孩童时代想快点长大成人，长大后却想做回小朋友。	5
鬼腳七	这主题升华得挺好的，虽然故事也老套得可以	1
魂	这个剧情编织笨拙地让人想发笑，怪不得日漫冷饭炒得都那么难看，一个个比荷里活编剧还要水货。	3
Chenghuan007	爷青回	1
沉甸甸	面对“45岁以上不许卖菜”的世界规则，反派采取避世方式消极对抗，而主角选择积极抗争，面对现实，最终变成了社畜。	3
C罗最爱的老婆	哭了 本来以为是青回 结果是青春再见	4
江湖骗子	不愿接受长大现实的“成年人”极度崩溃，气到大哭	1
NegativeAF	原来上班了就不可以拥有数码宝贝了呢[再见]
本打工人被儿时情怀电影侮辱了[再见]	9
Xie3 Project	也许是tri让关P过于眷恋了，情怀拉满的结果是LE成了另一种《哆啦A梦：伴我同行》。但正如启迪关P制作DA的另一部《伴我同行》那样，走出童年的答案并不在目力所见的地平线上，它只是一直在成为大人们的孩子心里，我们不需要学习怎么去告别。世界变小只是因为外面还有更大的世界，明天吹着的是明天的风。	8
桐桐.	虽然我看完一直哭到回家，虽然有它主张的寓意，但是这不是数码宝贝。套着童年的帽子，一脚踩在我心里最柔软的地方。我不能接受。	3
王仙客	可以无视tri，这部才是初代的正式续集以及结局。情怀拉满，这已经不是一个冒险故事，而是一个和过去告别的电影，是拍给已经长大的我们的，长大后想回到小时候无忧无虑的夏天，那些放学回家看数码宝贝的日子，如何不想念呢？当太一吹响哨子的时候，唤起了所有的回忆，那一刻我们都是被选召的孩子。我看的是国语版，相比于日语版还是国语版更有“原汁原味”的童年味道，日语版的人名翻译不适应。遗憾还是有的，战斗暴龙兽和钢铁加鲁鲁兽没有登场，一直期待的究极进化始终没有，其他数码宝贝的完全体也没有出现，初代8人没有同框，素娜完全打酱油。如果你是数码宝贝的粉丝，请忘掉tri，去电影院看看初代的结局吧。	8
离开水的小胖	看了第一集，感觉没有那么心潮澎湃，可能是bgm的关系，配乐不是差得一丁半点！	8
神仙鱼	有很多可供观看切入的角度，遇见与告别、成长的代价、麻木逃避现实与痛感真切面对的选择、友情的消散、在成年世界保持赤子之心于一潭死水中重燃热血等等，而最终说的都是该如何面对“人生就是不断得到又失去”这个无情现实。正如已到中年还会走进影院来看它的观众，为什么序幕刚完Butter-Fly响起时就哭了？以前的剧情早已不记得了，只是被旧识拍了拍肩膀，回看一眼望穿童年落幕后的十几年，感怀人生竟就从那走到了这。	2
口水软之助	有关成长/和自己的童年说再见这种主题我好喜欢TUT 明明已经是过气到不行的王道主题 放在电影院里看就自带各种buff 光是听到butter-fly响起来就已经是全场暴击（俺特意偷偷观察了一下前后左右大家都是同一个动作用手捂住嘴ww 看完之后还是难以平复心情又和机油在小公园里把TV第一部第二部重温了一下下2333	2
野凡	这种剧情设定真是太陈旧了，我宁愿看着他们继续和小丑皇大战。故事设定总是围绕着主角展开，配角的的年龄早就达到了要触发这些事件的标准，但就是不管，因为不是主角，所以可以无视。	2
Liekkas	一个人在电影院里哭了，拯救了地球也逃不过找工作的太一，还没人生目标考研的阿河他们的年纪和我一样经历多么相似的阶段，还记得自己也是在他们那么小的时候看了数码宝贝。情怀这东西真奇怪，他让我想起了童年。	5
查理布朗	“被选召的孩子们”长大成人后，数码宝贝也将随之消失…象征着终会消失的童年。当熟悉的音乐响起的时候，小时候的回忆就涌开了。最后一战，最后的进化，再见啦～	1
二爷i585	其实说实话挺好的，给童年画下个句号吧！	6
9命猫	数码世界的情怀，永无止境的成长历程，是数码宝贝的诞生。	2
JackW	原来说的是“再见”主题...用这么大ip熬了这么一锅清汤，太浪费了吧！（我以为只有我一个遗憾没有花仙兽...看了弹幕和评论，花仙兽人气真的高	5
jianyuancool	社畜结束一周工作孤身看的末班电影。大魔王的风月宝鉴困住了少年们和大魔王自己。“美好是因为无视美好的逝去”。编剧还是很善良的安排时间轴在了22岁，两个准毕业生——迷茫人生未来的出路。但如果时间线来到社畜的26、27岁，留念过去的童话世界里拯救世界与回到现实生活中承担个体责任两者的冲突，则会更加残忍。超人回到电话亭换上西装，谁来为记者发薪水养家糊口呢？当然这不是数码宝贝离开的理由。难道长大需要“勇气”“友谊”“希望”“诚实”…了？数码宝贝应该就像童年的玩具，往日的同学伙伴，舍不得却又不得不告别的人们。或是空间，或是时间，或是心灵，距离拉远。玩具需要新的陪伴，数码宝贝也有自己的人生啊，又或是生老病死。即使没来得及说再见。但我们身上，已有了他们的模样。“但是我不会放弃的”太一如是说道。	4
野蒜	让人走神的片段太多了，还时不时几句鸡汤。怀疑这是太和、武嘉cp粉丝向电影，开头天使兽天女兽联手战斗糊弄一下人。中途乱入FBI特工片、黑客帝国，后半段战斗场面突然高达。能把成长主题、“坦然地面对分别还是活在虚拟乌托邦”这些内容拍成这样也是绝了。每一次进化都是告别。	0
iriselite	本片的套路有点老套，最终总是battle。美女角色的反转设置较为巧妙。大反派也并非是绝对的反派。每个人终究都是要成长的，不能停留在回忆中。数码宝贝永远在心中。	0
青诃	没看到初代的合体，
最后没响起butterfly，
……
遗憾才是最后预留的进化吧。	5
道臣岚	过于老套还不给我看兽人加鲁鲁好生气，立意还行啦但是真的很无聊…………有意思的地方是，你看wendy和数码宝贝里讲女性面对彼得潘情节，最终都是被劝说你该长大了，move on。	0
梦到醒不来的梦	嘘嘘的听得我想尿了	0
Agrroc	为什么素娜的镜头那么少，是因为素娜的神圣计划是最早出现光环的，她不想去战斗，她只想和比丘兽度过最后的时光。在太一跟阿和大战的时候，已经扫过一幕素娜握着石化的神圣计划了，那时候比丘兽就已经不在了，所以素娜是唯一没被抓走的。
中间大和提到过素娜专心学花艺，就像梅诺亚那样迫切的长大去做某件事，所以她应该是伙伴团最早经历跟数码宝贝分别的人，突然好心疼，这是告诉我们，成长路上最先失去的是爱心吗
最后暴龙机石化了，太一，阿和哭了，我也跟着哭了！	4
圣诞种子	谁他妈想看双男主啊，想看的是群像好吗，做不好就别出续集卖情怀了，求求了	4
得儿然	开场10分，内容滑稽6分，片尾转头杀落泪8分	0
Thomas	鹦鹉兽需要三个完全体解决就离谱	7
大猫	大家都长大了啊…	1
